code,name,secondary_name,state,begin_date,end_date,campaign,result,latitude,longitude,coord_source,summary
AR005,Prairie Grove,Fayetteville,AR,12/7/1862,12/7/1862,Prairie Grove Campaign,Union Victory (strategic),35.983055555,-94.310555555,Wikidata Q2789421,"Maj. Gen. Thomas C. Hindman sought to destroy Brig. Gen. Francis Herron’s and Brig. Gen. James Blunt’s divisions before they joined forces. Hindman placed his large force between the two Union divisions, turning on Herron first and routing his cavalry. As Hindman pursued the cavalry, he met Herron’s infantry which pushed him back. The Rebels then established their line of battle on a wooded high ridge northeast of Prairie Grove Church. Herron brought his artillery across the Illinois River and initiated an artillery duel. The Union troops assaulted twice and were repulsed. The Confederates cou"
AR006,Arkansas Post,Fort Hindman,AR,1/9/1863,1/11/1863,Operations Against Vicksburg,Union Victory,34.016666666,-91.345277777,Wikidata Q761031,"From Fort Hindman, at Arkansas Post, Confederates had been disrupting Union shipping on the Mississippi River. Maj. Gen. John McClernand, therefore, undertook a combined force movement on Arkansas Post to capture it. Union boats began landing troops near Arkansas Post in the evening of January 9, 1863. The troops started up river towards Fort Hindman. Maj. Gen. William T. Sherman’s corps overran Rebel trenches, and the enemy retreated to the protection of the fort and adjacent rifle-pits. Rear Adm. David Porter, on the 10th, moved his fleet towards Fort Hindman and bombarded it withdrawing at "
AR007,Chalk Bluff,,AR,5/1/1863,5/2/1863,Marmaduke's Second Expedition Into Missouri,Confederate Victory (tactical),36.47726,-90.15883,Wikidata Q2384888,"Union Brig. Gen. William Vandever pursued Brig. Gen. John S. Marmaduke to Chalk Bluff, where the Confederates hoped to cross the St. Francis River. To ford the river, Marmaduke established a rearguard that received heavy punishment on May 1-2. Although most of Marmaduke’s raiders crossed the St. Francis River, they suffered heavy casualties and therefore ended the expedition."
AR008,Helena,,AR,7/4/1863,7/4/1863,Grant's Operations Against Vicksburg,Union Victory,34.526111111,-90.596944444,Wikidata Q2282207,"Lt. Gen. Theophilus Holmes’s troops attacked Helena in an attempt to relieve pressure on Vicksburg. Although the Rebels had more troops and did initially capture some of the fortifications, the Union forces repelled them. Thus, Helena continued as an important Union enclave in the Trans-Mississippi theater and served as a base for the expedition that captured Little Rock."
AR009,Devil's Backbone,Backbone Mountain,AR,9/1/1863,9/1/1863,Operations to Control Indian Territory,Union Victory,35.8952199,-92.6154756,"OpenStreetMap: Devil’s Backbone Road Cut—Geology, US 65, Marshall, Searcy County, Arkansas, 72650, United States","Union Maj. Gen. James G. Blunt ordered Col. William Cloud to continue in pursuit of the Confederate forces that had withdrawn from Fort Smith and were chased to Old Jenny Lind. The Rebels turned on Cloud and skirmished with him at the base of Devil’s Backbone. Cabell’s forces ambushed approaching Union troops and momentarily halted their advance. Regrouping, the Union forces, with the help of artillery, advanced again and forced the Confederates to retire in disorder to Waldron."
AR010,Bayou Fourche,Little Rock,AR,9/10/1863,9/10/1863,Union Advance on Little Rock,Union Victory,34.721972222,-92.2015,Wikidata Q2233920,"On September 10, 1863, Maj. Gen. Fred Steele, Army of Arkansas commander, sent Brig. Gen. John W. Davidson’s cavalry division across the Arkansas River to move on Little Rock, while he took other troops to attack Confederates entrenched on the north side. In his thrust toward Little Rock, Davidson ran into Confederate troops at Bayou Fourche. Aided by Union artillery fire from the north side of the river, Davidson forced them out of their position and sent them fleeing back to Little Rock, which fell to Union troops that evening. Bayou Fourche sealed Little Rock’s fate. The fall of Little Rock"
AR011,Pine Bluff,,AR,10/25/1863,10/25/1863,Union Advance on Little Rock,Union Victory,34.229722222,-92.003333333,Wikidata Q2647386,"At 8:00 am, October 25, Col. Powell Clayton sent a company of cavalry toward Princeton which ran into Brig. Gen. John S. Marmaduke’s men advancing. After some fire, the Rebels, under a flag of truce, came forward demanding surrender. Lt. M.F. Clark answered that there would be no surrender. Clayton slowly retreated back into Pine Bluff. In the meantime, about 300 African-American soldiers rolled cotton bales out of the warehouses for barricades to protect court square. After failing to take the square by force, the Rebels attempted to burn out the Union forces but to no avail. The Confederate "
AR012,Elkin's Ferry,Okolona,AR,4/3/1864,4/4/1864,Camden Expedition,Union Victory,33.93055556,-93.35722222,Wikidata Q2840763,"During the expedition, Union forces sought a ford to cross the Little Missouri River because other roads were impassible. They reached Elkin’s Ferry before the Confederates. As they crossed, the Confederates attempted to stop them but to no avail."
AR013,Prairie D'Ane,"Gum Grove, Moscow",AR,4/10/1864,4/13/1864,Camden Expedition,Union Victory,33.66111111,-93.30083333,Wikidata Q4872098,"On April 10, Maj. Gen. Fred Steele’s Union forces, combined with Brig. Gen. John M. Thayer’s division, marched south from the Cornelius Farm. They soon encountered a Confederate line of battle at Prairie D’Ane and attacked, driving it back about a mile before being checked. Skirmishing continued throughout the afternoon of April 11, forcing Steele to divert line of march forces away from Shreveport toward Camden. Maj. Gen. Sterling Price’s Confederates returned to Prairie D’Ane on April 13, falling upon Steele’s rearguard under Thayer. After a four-hour battle, Price disengaged, and Steele’s c"
AR014,Poison Spring,,AR,4/18/1864,4/18/1864,Camden Expedition,Confederate Victory,33.637611111,-93.006,Wikidata Q3007076,"Dwindling supplies for his army at Camden forced Maj. Gen. Fred Steele to send out a foraging party to gather corn that the Confederates had stored about twenty miles up the Prairie D’Ane-Camden Road on White Oak Creek. The party loaded the corn into wagons, and on April 18, Col. James M. Williams started his return to Camden. Brig. Gen. John S. Marmaduke’s and Brig. Gen. Samuel B. Maxey’s Confederate forces arrived at Lee Plantation, about fifteen miles from Camden, where they engaged Williams. The Rebels eventually attacked Williams in the front and rear forcing him to retreat north into a m"
AR015,Marks' Mills,,AR,4/25/1864,4/25/1864,Camden Expedition,Confederate Victory,33.781111111,-92.256944444,Wikidata Q2804685,"A Union force escorted 240 wagons from Camden to Pine Bluff to pick up supplies and transport them back to Maj. Gen. Fred Steele’s army. At first the Union escort rebuffed Rebel attempts to halt them. Then the Confederates moved in on the Union rear and front, causing a rout. The Rebels captured most of the men and all of the supply wagons. Thus, Steele gave up all thoughts of uniting with Maj. Gen. Nathaniel Banks on the Red River and realized that he had to save his army."
AR016,Jenkin's Ferry,,AR,4/30/1864,4/30/1864,Camden Expedition,Union Victory,34.2125,-92.5475,Wikidata Q3291913,"Maj. Gen. Fred Steele’s forces retreated from Camden after being mauled at Marks’ Mills and Poison Spring. On the afternoon of April 29, the Union forces reached Jenkins’ Ferry and began crossing the Saline River, which was swollen by heavy rain. Rebel forces arrived on the 30th and attacked repeatedly. The Federals repulsed the attacks and finally crossed with all their men and supply wagons, many of which they were compelled to abandon in the swamp north of Saline. The Confederates bungled a good chance to destroy Steele’s army, which after crossing the river, regrouped at Little Rock."
AR017,Old River Lake,"Ditch Bayou, Lake Chicot, Lake Village, Furlough, Fish Bayou, Grand Lake",AR,6/6/1864,6/6/1864,Expedition to Lake Village,Union Victory,33.26854722,-91.19270278,Wikidata Q2943315,"Maj. Gen. A.J. Smith ordered Brig. Gen. Joseph A. Mower to demonstrate against Lake Village. Mower camped near Sunnyside Landing on the evening of June 5 and took up his line of march again the next morning. The skirmishing Confederates fell back to Red Leaf where Col. Colton Greene and his men were encamped. As the Federals advanced, Greene’s men, assisted by artillery, fought a delaying action at Ditch Bayou and then withdrew to Parker's landing on Bayou Mason. The Union troops advanced to Lake Village, camped there overnight, and the next day rejoined the flotilla on the Mississippi River a"
CO001,Sand Creek,Chivington Massacre,CO,10/29/1864,10/29/1864,Sand Creek Campaign,Union Victory,39.7846689,-104.9033536,"OpenStreetMap: Sand Creek, Commerce City, Adams County, Colorado, United States","Scattered Indian raids had caused much ill-will between the white settlers and the Native Americans. In the autumn, Territorial (Colorado) officers had offered a vague amnesty if Indians reported to army forts. Black Kettle with many Cheyennes and a few Arapahos, believing themselves to be protected, established a winter camp about 40 miles from Fort Lyon. On November 29, Col. John Chivington, who advocated Indian extermination, arrived near the camp, having marched there from Fort Lyon. In spite of the American flag and a white flag flying over the camp, the troops attacked, killing and mutil"
DC001,Fort Stevens,Washington,DC,7/11/1864,7/12/1864,Early's Raid and Operations Against B&O RR,Union Victory,38.9641,-77.0288,Wikidata Q1626369,"On July 11, Lt. Gen. Jubal A. Early’s exhausted Confederates reached the outskirts of Washington near Silver Spring. Skirmishers advanced to feel the fortifications which at the time were manned only by Home Guards, clerks, and convalescent troops. During the night, veteran units from the Union VI Corps disembarked from troop transports and marched north through the streets of Washington to bolster the defenses. On July 12, Early was finally in position to make a strong demonstration, which was repulsed by the veteran Union troops. In the afternoon, VI Corps units sortied against the Confedera"
FL001,Santa Rosa Island,,FL,10/9/1861,10/9/1861,Operations of Gulf Blockading Squadron,Union Victory,30.3242,-87.2817,Wikidata Q2355732,"After midnight on October 9, Brig. Gen. Richard Anderson crossed from the mainland to Santa Rosa Island with 1,200 men in two small steamers to surprise Union camps and capture Fort Pickens. He landed on the north beach about four miles east of Fort Pickens and divided his command into three columns. After proceeding about three miles, the Confederates surprised the 6th Regiment, New York Volunteers, in its camp and routed the regiment. Gen. Anderson then adopted a defensive stance to entice the Federals to leave the fort and attack. Receiving reinforcements, Col. Harvey Brown sallied against "
FL002,Tampa,,FL,6/30/1862,7/1/1862,Union Operations Against Tampa,Confederate Victory,27.9415,-82.4559,Wikidata Q2067472,"On June 30, a Union gunboat came into Tampa Bay, turned her broadside on the town, and opened her ports. The gunboat then dispatched a launch carrying 20 men and a lieutenant under a flag of truce demanding the surrender of Tampa. The Confederates refused, and the gunboat opened fire. The officer then informed the Confederates that shelling would commence at 6:00 pm after allowing time to evacuate non-combatants from the city. Firing continued sporadically into the afternoon of July 1, when the Federal gunboat withdrew."
FL003,Saint John's Bluff,,FL,10/1/1862,10/3/1862,"Expedition From Hilton Head, SC to St. John Bluff,",Union Victory,30.3852,-81.4998,Wikidata Q2134266,"Brig. Gen. John Finegan established a battery on St. John’ s Bluff near Jacksonville to stop the movement of Federal ships up the St. Johns River. Brig. Gen. John M. Brannan embarked with about 1,500 infantry aboard the transports Boston, Ben DeFord, Cosmopolitan, and Neptune at Hilton Head, South Carolina, on September 30. The flotilla arrived at the mouth of the St. John’ s River on October 1, where Cdr. Charles Steedman’ s gunboats’Paul Jones, Cimarron, Uncas, Patroon, Hale, and Water Witch’joined them. By midday, the gunboats approached the bluff, while Brannan began landing troops at Mayp"
FL004,Fort Brooke,,FL,10/16/1863,10/18/1863,Expedition to Destroy Ships in Hillsboro River,Union Victory,28.015468,-82.464423,Wikidata Q2098132,"Two Union ships bombarded Fort Brooke on October 16 as a diversion, while a landing party under Acting Master T.R. Harris disembarked at Ballast Point and marched 14 miles to the Hillsborough River to capture several steamers. Harris and his men surprised and captured the blockade running steamer Scottish Chief and sloop Kate Dale. The Rebels destroyed the steamer A.B. Noyes to preclude her capture. On its way back to the ship, Harris’s force was surprised by a detachment of the garrison, causing casualties."
FL005,Olustee,Ocean Pond,FL,2/20/1864,2/20/1864,Florida Expedition,Confederate Victory,30.214233333,-82.388588888,Wikidata Q2512802,"In February 1864, the commander of the Department of the South, Maj. Gen. Quincy A. Gillmore, launched an expedition into Florida to secure Union enclaves, sever Rebel supply routes, and recruit black soldiers. Brig. Gen. Truman Seymour moved deep into the state, occupying, destroying, and liberating, meeting little resistance on February 20, he approached Brig. Gen. Joseph Finegan’s 5,000 Confederates entrenched near Olustee. One infantry brigade pushed out to meet Seymour’s advance units. The Union forces attacked but were repulsed. The battle raged, and as Finegan committed the last of his "
FL006,Natural Bridge,,FL,3/6/1865,3/6/1865,Operations in the Vicinity of St Mark's Florida,Confederate Victory,30.283888888,-84.151944444,Wikidata Q2611018,"Maj. Gen. John Newton had undertaken a joint force expedition to engage and destroy Confederate troops that had attacked at Cedar Keys and Fort Myers and were allegedly encamped somewhere around St. Marks. The Navy had trouble getting its ships up the St. Marks River. The Army force, however, had advanced and, after finding one bridge destroyed, started before dawn on March 6 to attempt to cross the river at Natural Bridge. The troops initially pushed Rebel forces back but not away from the bridge. Confederate forces, protected by breastworks, guarded all of the approaches and the bridge itsel"
GA001,Fort Pulaski,,GA,4/10/1862,4/11/1862,Operations Against Fort Pulaski,Union Victory,32.02729,-80.89096,Wikidata Q2284279,"Fort Pulaski, built by the U.S. Army before the war, is located near the mouth of the Savannah River, blocking upriver access to Savannah. Fortifications such as Pulaski, called third system forts, were considered invincible, but the new technology of rifled artillery changed that. On February 19, 1862, Brig. Gen. Thomas W. Sherman ordered Captain Quincy A. Gillmore, an engineer officer, to take charge of the investment force and begin the bombardment and capture of the fort. Gillmore emplaced artillery on the mainland southeast of the fort and began the bombardment on April 10 after Colonel C"
GA002,Fort Mcallister I,,GA,2/27/1863,3/3/1863,Union Naval Attacks on Fort McAllister,Confederate Victory,31.8888,-81.1941,Wikidata Q3477165,"Rear Adm. Samuel F. Du Pont [US] ordered three ironclads, Patapsco, Passaic, and Nahant, to test their guns and mechanical appliances and practice artillery firing by attacking Fort McAllister, then a small three-gun earthwork battery. On March 3, 1863, the three ironclads conducted an eight-hour bombardment. The bombardment did not destroy the battery but did some damage, while the three ironclads received some scratches and dents. The tests were helpful for knowledge and experience gained, but the fort did not fall, showing that the ironclads’ firepower could not destroy an earthen fort."
GA003,Davis' Cross Roads,Dug Gap,GA,9/10/1863,9/11/1863,Chickamauga Campaign,Union Victory (strategic),,,,"After the Tullahoma Campaign, Rosecrans renewed his offensive, aiming to force the Rebels out of Chattanooga. The three corps comprising Rosecrans’s army split and set out for Chattanooga by separate routes. Hearing of the Union advance, Braxton Bragg concentrated troops around Chattanooga. While Col. John T. Wilder’s artillery fired on Chattanooga, Rosecrans attempted to take advantage of Bragg’s situation and ordered other troops into Georgia. They raced forward, seized the important gaps, and moved out into McLemore’s Cove. Negley’s XIV Army Corps division, supported by Brig. Gen. Absalom B"
GA004,Chickamauga,,GA,9/18/1863,9/20/1863,Chickamauga Campaign,Confederate Victory,34.917777777,-85.260555555,Wikidata Q1327790,"After the Tullahoma Campaign, Rosecrans renewed his offensive, aiming to force the Confederates out of Chattanooga. The three army corps comprising Rosecrans’ s army split and set out for Chattanooga by separate routes. In early September, Rosecrans consolidated his forces scattered in Tennessee and Georgia and forced Bragg’s army out of Chattanooga, heading south. The Union troops followed it and brushed with it at Davis’ Cross Roads. Bragg was determined to reoccupy Chattanooga and decided to meet a part of Rosecrans’s army, defeat them, and then move back into the city. On the 17th he heade"
GA005,Ringgold Gap,Taylor's Ridge,GA,11/27/1863,11/27/1863,Chattanooga-Ringgold Campaign,Confederate Victory,34.9112,-85.1015,Wikidata Q2889788,"Following the Union victory at Missionary Ridge and the Rebel retreat, Yankee troops set out in pursuit. Maj. Gen. Patrick Cleburne’s command fell back to Ringgold Gap where the Western & Atlantic Railroad passed through Taylor’s Ridge. Maj. Gen. Joseph B. Hooker sent his force forward to seize the ridge, which it failed to do after five hours of heavy fighting."
GA006,Dalton I,,GA,2/22/1864,2/27/1864,Forrest's Expedition Into West Tennessee and Kentu,Confederate Victory,34.7889,-84.9807,Wikidata Q3477162,"From Vicksburg, Mississippi, Sherman launched a campaign to take the important railroad center at Meridian and, if the situation was favorable, to push on to Selma and threaten Mobile, in order to prevent the shipment of Confederate men and supplies. To counter the threat, Confederate President Jefferson Davis ordered troops into the area. While these operations unfolded, Thomas determined to probe Gen. Johnston’s army in the hope that Johnston’s loss of two divisions, sent to reinforce Lt. Gen. Leonidas Polk as he withdrew from Meridian to Demopolis, Alabama, would make him vulnerable. Skirmi"
GA007,Rocky Face Ridge,"Combats at Buzzard Roost, Mill Creek, Dug Gap",GA,5/7/1864,5/13/1864,Morgan's Raid Into Kentucky,Union Victory,34.74105,-85.01568,Wikidata Q3072453,"Gen. Joseph E. Johnston had entrenched his army on the long, high mountain of Rocky Face Ridge and eastward across Crow Valley. As Maj. Gen. William T. Sherman approached, he decided to demonstrate against the position with two columns while he sent a third one through Snake Creek Gap, to the right, to hit the Western & Atlantic Railroad at Resaca. The two columns engaged the enemy at Buzzard Roost (Mill Creek Gap) and at Dug Gap. In the meantime, the third column, under Maj. Gen. James Birdseye McPherson, passed through Snake Creek Gap and on the 9th advanced to the outskirts of Resaca where "
GA008,Resaca,Lay's Ferry,GA,5/13/1864,5/15/1864,Morgan's Raid Into Kentucky,Indecisive,34.5815,-84.9385,Wikidata Q2615826,"Gen. Joseph E. Johnston had withdrawn from Rocky Face Ridge to the hills around Resaca. On the 13th, the Union troops tested the Rebel lines to pinpoint their whereabouts. The next day full scale fighting occurred, and the Union troops were generally repulsed except on the Rebel right flank where Sherman did not fully exploit his advantage. On the 15th, the battle continued with no advantage to either side until Sherman sent a force across the Oostanula River, at Lay’s Ferry, towards Johnston’s railroad supply line. Unable to halt this Union movement, Johnston was forced to retire."
GA009,Adairsville,,GA,5/17/1864,5/17/1864,Morgan's Raid Into Kentucky,Confederate Victory,34.4083,-84.9389,Wikidata Q2615801,"Following the Battle of Resaca, May 13-15, Gen. Joseph E. Johnston’ s army retreated southward while Sherman pursued. Failing to find a good defensive position south of Calhoun, Johnston continued to Adairsville while the Rebel cavalry fought a skillful rearguard action. On the 17th, skirmish fire continued throughout the day and into the early evening. Maj. Gen. O.O. Howard’s IV Corps ran into entrenched infantry of Lt. Gen. William J. Hardee’ s corps, while advancing, about two miles north of Adairsville. The 44th Illinois and 24th Wisconsin (under the command of Maj. Arthur MacArthur, fathe"
GA010,New Hope Church,,GA,5/25/1864,6/5/1864,Morgan's Raid Into Kentucky,Confederate Victory,33.961,-84.7875,Wikidata Q2889502,"After Johnston retreated to Allatoona Pass on May 19-20, Sherman decided that he would most likely pay dearly for attacking Johnston there, so he determined to move around Johnston’s left flank and steal a march toward Dallas. Johnston anticipated Sherman’s move and met the Union forces at New Hope Church. Sherman mistakenly surmised that Johnston had a token force and ordered Maj. Gen. Joseph Hooker’s corps to attack. This corps was severely mauled. On the 26th, both sides en-trenched, and skirmishing continued throughout the day. Actions the next day in this area are discussed under Pickett’"
GA011,Dallas,"New Hope Church, Pumpkin Creek",GA,5/28/1864,6/28/1864,Morgan's Raid Into Kentucky,Union Victory,33.92,-84.87,Wikidata Q2888382,"Johnston’s army fell back from the vicinity of Cassville-Kinston, first to Allatoona Pass and then to the Dallas area and entrenched. Sherman’s army tested the Rebel line while entrenching themselves. The Battle of Dallas occurred on May 28 when Lt. Gen. William J. Hardee’s corps probed the Union defensive line, held by Maj. Gen. John A. Logan’s Army of the Tennessee corps, to exploit any weakness or possible withdrawal. Fighting ensued at two different points, but the Rebels were repulsed, suffering high casualties. Sherman continued looking for a way around Johnston’s line, and, on June 1, h"
GA012,Pickett's Mill,"New Hope, New Hope Church",GA,5/27/1864,5/27/1864,Morgan's Raid Into Kentucky,Confederate Victory,33.975,-84.759,Wikidata Q4872040,"After the Union defeat at New Hope Church, Maj. Gen. William T. Sherman ordered Maj. Gen. O.O. Howard to attack Gen. Joseph E. Johnston’ s seemingly exposed right flank. The Confederates were ready for the attack, which did not unfold as planned because supporting troops never appeared. The Rebels repulsed the attack causing high casualties."
GA013,Marietta Operations,"Pine Hill, Pine Mountain, Gilgal Creek, Noonday Creek, Ruff's Mill, Lost Mountain, Mcaffee's Cross Road, Mud Creek, Neal Dow Station, Rottenwood Creek",GA,6/10/1864,7/3/1864,Morgan's Raid Into Kentucky,Union Victory,33.94,-84.58,Wikidata Q4871906,"During the Atlanta Campaign, Sherman maneuvered Johnston's Confederate army out of several successive defensive positions in Cobb County. This strategy spared the Union army from making costly frontal attacks on the well-situated Confederates. Sherman first found Johnston's army entrenched in the Marietta area on June 9. The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains. Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnst"
GA014,Kolb's Farm,,GA,6/22/1864,6/22/1864,Morgan's Raid Into Kentucky,Union Victory,33.94,-84.58,Wikidata Q4871474,"On the night of June 18-19, Gen. Joseph E. Johnston, fearing envelopment, moved his army to a new, previously selected position astride Kennesaw Mountain, an entrenched arc-shaped line to the west of Marietta, to protect his supply line, the Western & Atlantic Railroad. Having encountered entrenched Rebels astride Kennesaw Mountain stretching southward, Sherman fixed them in front and extended his right wing to envelop their flank and menace the railroad. Joe Johnston countered by moving John B. Hood’s corps from the left flank to the right on June 22. Arriving in his new position at Mt. Zion "
GA015,Kennesaw Mountain,,GA,6/27/1864,6/27/1864,Morgan's Raid Into Kentucky,Confederate Victory,33.96899,-84.58134,Wikidata Q2570177,"On the night of June 18-19, Gen. Joseph E. Johnston, fearing envelopment, withdrew his army to a new, previously selected position astride Kennesaw Mountain. This entrenched arc-shaped line, to the north and west of Marietta, protected the Western & Atlantic Railroad, the supply link to Atlanta. Having defeated General John B. Hood troops at Kolb’s Farm on the 22nd, Sherman was sure that Johnston had stretched his line too thin and, therefore, decided on a frontal attack with some diversions on the flanks. On the morning of June 27, Sherman sent his troops forward after an artillery bombardmen"
