confidence,ship,arrival_year,passenger,passenger_birth,passenger_death,individual,individual_id,individual_birth,individual_death,reasons
strong,Mayflower,1620,Thomas Rogers,1572,1621,Thomas Rogers,I142428217100,1571,1621,"name matches exactly (Thomas Rogers); birth 1572 and 1571 agree within 1; death 1621 and 1621 agree within 0; alive in 1620, when the Mayflower arrived"
strong,Mayflower,1620,William White,1587,1621,William White,I142436077963,1586,1620,"name matches exactly (William White); birth 1587 and 1586 agree within 1; death 1621 and 1620 agree within 1; alive in 1620, when the Mayflower arrived"
strong,Anne,1623,Experience Mitchell,,1689,Experience Mitchell,I142105438066,1609,1689,"name matches exactly (Experience Mitchell); death 1689 and 1689 agree within 0; alive in 1623, when the Anne arrived"
strong,Winthrop Fleet,1630,Simon Bradstreet,1603,1697,Simon Bradstreet,I142261259541,1603,1697,"name matches exactly (Simon Bradstreet); birth 1603 and 1603 agree within 0; death 1697 and 1697 agree within 0; alive in 1630, when the Winthrop Fleet arrived"
strong,Paul,1635,John Adams,1619,,John Adams,I142421146110,1622,1706,"name matches exactly (John Adams); birth 1619 and 1622 agree within 3; alive in 1635, when the Paul arrived"
strong,Falcon,1635,John King,1605,,John King,I142372910631,1600,1669,"name matches exactly (John King); birth 1605 and 1600 agree within 5; alive in 1635, when the Falcon arrived"
probable,"Susan Constant, Godspeed and Discovery",1607,William White,,,William White,I142436077963,1586,1620,"name matches exactly (William White); alive in 1607, when the Susan Constant, Godspeed and Discovery arrived"
probable,Mayflower,1620,Samuel Fuller,,,Samuel Fuller,I1631833408,1580,1633,"name matches exactly (Samuel Fuller); alive in 1620, when the Mayflower arrived"
probable,Anne,1623,Bridget  Fuller,,,Bridget Fuller,I1632013291,1622,1641,"name matches exactly (Bridget  Fuller); alive in 1623, when the Anne arrived"
probable,Anne,1623,Elizabeth Warren,,,Elizabeth Warren,I142305436885,1616,1669,"name matches exactly (Elizabeth Warren); alive in 1623, when the Anne arrived"
probable,Anne,1623,Jacob Cooke,,,Jacob Cooke,I142251783051,1618,1675,"name matches exactly (Jacob Cooke); alive in 1623, when the Anne arrived"
probable,Anne,1623,Jane Cooke,,,Jane Cooke,I142105438094,1604,1666,"name matches exactly (Jane Cooke); alive in 1623, when the Anne arrived"
probable,Charity,1624,Edward Winslow,,,Edward Winslow,I142438290107,1595,1655,"name matches exactly (Edward Winslow); alive in 1624, when the Charity arrived"
probable,Jacob,1625,Edward Winslow,,,Edward Winslow,I142438290107,1595,1655,"name matches exactly (Edward Winslow); alive in 1625, when the Jacob arrived"
probable,Four Sisters,1629,John Browne,,,John Browne,I142197184257,1589,1686,"name matches exactly (John Browne); alive in 1629, when the Four Sisters arrived"
probable,Four Sisters,1629,John Browne,,,John Browne,I142217466307,1589,1686,"name matches exactly (John Browne); alive in 1629, when the Four Sisters arrived"
probable,Lyon,1631,Elizabeth Perkins,,,Elizabeth Perkins,I29806134007,1611,1670,"name matches exactly (Elizabeth Perkins); alive in 1631, when the Lyon arrived"
probable,William and Francis,1632,Edward Winslow,,,Edward Winslow,I142438290107,1595,1655,"name matches exactly (Edward Winslow); alive in 1632, when the William and Francis arrived"
probable,Lyon,1632,John Browne,,,John Browne,I142197184257,1589,1686,"name matches exactly (John Browne); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Browne,,,John Browne,I142217466307,1589,1686,"name matches exactly (John Browne); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Browne,,,John Browne,I142197184257,1589,1686,"name matches exactly (John Browne); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Browne,,,John Browne,I142217466307,1589,1686,"name matches exactly (John Browne); alive in 1632, when the Lyon arrived"
probable,William and Francis,1632,John Weld,,,John Weld,I142190366705,1623,1691,"name matches exactly (John Weld); alive in 1632, when the William and Francis arrived"
probable,Lyon,1632,John Whipple,,,John Whipple,I1636788171,1617,1685,"name matches exactly (John Whipple); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Whipple,,,John Whipple,I1669534006,1617,1685,"name matches exactly (John Whipple); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Whipple,,,John Whipple,I142197186055,1617,1685,"name matches exactly (John Whipple); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Whipple,,,John Whipple,I142197211329,1617,1685,"name matches exactly (John Whipple); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,John Whipple,,,John (The Elder) Whipple,I142699289104,1596,1669,"name matches exactly (John Whipple); alive in 1632, when the Lyon arrived"
probable,William and Francis,1632,Margaret Weld,,,Margaret Bowen Weld,I142190366707,1629,1692,"name matches exactly (Margaret Weld); alive in 1632, when the William and Francis arrived"
probable,Lyon,1632,William Browne,,,William Browne,I142261753815,1602,1662,"name matches exactly (William Browne); alive in 1632, when the Lyon arrived"
probable,Lyon,1632,William Curtis,,,WILLIAM CURTIS,I142288006858,1597,1672,"name matches exactly (William Curtis); alive in 1632, when the Lyon arrived"
probable,Welcome,1633,Sarah Winter,,,Sarah Winter,I142402273823,1623,1686,"name matches exactly (Sarah Winter); alive in 1633, when the Welcome arrived"
probable,Francis,1634,Elizabeth Rose,,,Elizabeth Rose,I1842020641,1582,1635,"name matches exactly (Elizabeth Rose); alive in 1634, when the Francis arrived"
probable,Elizabeth,1634,George Woodward,,,George Joshua Woodward,I1842020699,1619,1676,"name matches exactly (George Woodward); alive in 1634, when the Elizabeth arrived"
probable,Elizabeth,1634,George Woodward,,,George Joshua Woodward,I1842020699,1619,1676,"name matches exactly (George Woodward); alive in 1634, when the Elizabeth arrived"
probable,Merchant Bonaventure,1634,John Dunn,1608,,John Dane,I142387133420,1612,1684,"name matches by sound (John Dunn / John Dane); birth 1608 and 1612 agree within 4; alive in 1634, when the Merchant Bonaventure arrived"
probable,Merchant Bonaventure,1634,John Hutchinson,1612,,John Hutchinson,I142197184850,1598,1676,"name matches exactly (John Hutchinson); alive in 1634, when the Merchant Bonaventure arrived"
probable,Merchant Bonaventure,1634,John Hutchinson,1612,,John HUTCHINSON,I142200657921,1598,1676,"name matches exactly (John Hutchinson); alive in 1634, when the Merchant Bonaventure arrived"
probable,Francis,1634,John Livermore,,,John LIVERMORE,I2058534795,1606,1684,"name matches exactly (John Livermore); alive in 1634, when the Francis arrived"
probable,Francis,1634,John Livermore,,,John LIVERMORE,I2058534795,1606,1684,"name matches exactly (John Livermore); alive in 1634, when the Francis arrived"
probable,Ark and Dove,1634,John Ward,,,John Ward,I1751903814,1626,1708,"name matches exactly (John Ward); alive in 1634, when the Ark and Dove arrived"
probable,Ark and Dove,1634,John Ward,,,John Ward,I1751903906,1626,1708,"name matches exactly (John Ward); alive in 1634, when the Ark and Dove arrived"
probable,Rebecca,1634,Mary Adams,,,Mary Adams,I142679819266,1616,1650,"name matches exactly (Mary Adams); alive in 1634, when the Rebecca arrived"
probable,Rebecca,1634,Mary Adams,,,Mary Adams,I142679819266,1616,1650,"name matches exactly (Mary Adams); alive in 1634, when the Rebecca arrived"
probable,Elizabeth,1634,Mary Smith,,,Mary Smith,I142371300461,1617,1679,"name matches exactly (Mary Smith); alive in 1634, when the Elizabeth arrived"
probable,Mary and John,1634,William Ballard,,,William Ballard,I142200662675,1603,1689,"name matches exactly (William Ballard); alive in 1634, when the Mary and John arrived"
probable,Ark and Dove,1634,William Browne,,,William Browne,I142261753815,1602,1662,"name matches exactly (William Browne); alive in 1634, when the Ark and Dove arrived"
probable,Susan and Ellen,1635,Elizabeth Nichols,,,Elizabeth Nichols,I1631833652,1624,,"name matches exactly (Elizabeth Nichols); alive in 1635, when the Susan and Ellen arrived"
probable,Planter,1635,Francis Peabody,,,Francis Peabody,I142451724699,1614,1698,"name matches exactly (Francis Peabody); alive in 1635, when the Planter arrived"
probable,Plain Joan,1635,George Smith,1601,,Grace Lee Smith,I28054966939,1597,1673,"name matches by sound (George Smith / Grace Lee Smith); birth 1601 and 1597 agree within 4; alive in 1635, when the Plain Joan arrived"
probable,Hopewell,1635,George Woodward,,,George Joshua Woodward,I1842020699,1619,1676,"name matches exactly (George Woodward); alive in 1635, when the Hopewell arrived"
probable,Rebecca,1635,George Woodward,,,George Joshua Woodward,I1842020699,1619,1676,"name matches exactly (George Woodward); alive in 1635, when the Rebecca arrived"
probable,Desire,1635,John Browne,,,John Browne,I142197184257,1589,1686,"name matches exactly (John Browne); alive in 1635, when the Desire arrived"
probable,Desire,1635,John Browne,,,John Browne,I142217466307,1589,1686,"name matches exactly (John Browne); alive in 1635, when the Desire arrived"
probable,Elizabeth,1635,John Browne,,,John Browne,I142197184257,1589,1686,"name matches exactly (John Browne); alive in 1635, when the Elizabeth arrived"
probable,Elizabeth,1635,John Browne,,,John Browne,I142217466307,1589,1686,"name matches exactly (John Browne); alive in 1635, when the Elizabeth arrived"
probable,Abigail,1635,John Collins,,,John Collins,I142338373553,1632,1679,"name matches exactly (John Collins); alive in 1635, when the Abigail arrived"
probable,George,1635,John Daynie,1615,,John Dane,I142387133420,1612,1684,"name matches by sound (John Daynie / John Dane); birth 1615 and 1612 agree within 3; alive in 1635, when the George arrived"
probable,Truelove,1635,John Dene,1617,,John Dane,I142387133420,1612,1684,"name matches by sound (John Dene / John Dane); birth 1617 and 1612 agree within 5; alive in 1635, when the Truelove arrived"
probable,George,1635,John Feld,1615,,John A. Field,I1898474809,1616,1686,"name matches by sound (John Feld / John A. Field); birth 1615 and 1616 agree within 1; alive in 1635, when the George arrived"
probable,George,1635,John Feld,1615,,John Field,I142197188969,1616,1686,"name matches by sound (John Feld / John Field); birth 1615 and 1616 agree within 1; alive in 1635, when the George arrived"
probable,Expedition,1635,John Heron,1615,,Joan (Jone) Hearne,I142459390075,1611,1643,"name matches by sound (John Heron / Joan (Jone) Hearne); birth 1615 and 1611 agree within 4; alive in 1635, when the Expedition arrived"
probable,Transport,1635,John Horne,1614,,Joan (Jone) Hearne,I142459390075,1611,1643,"name matches by sound (John Horne / Joan (Jone) Hearne); birth 1614 and 1611 agree within 3; alive in 1635, when the Transport arrived"
probable,George,1635,John Hutchinson,1588,,John Hutchinson,I142197184850,1598,1676,"name matches exactly (John Hutchinson); alive in 1635, when the George arrived"
probable,George,1635,John Hutchinson,1588,,John HUTCHINSON,I142200657921,1598,1676,"name matches exactly (John Hutchinson); alive in 1635, when the George arrived"
probable,Globe,1635,John Seaton,1616,,John Stone,I142235430624,1618,1683,"name matches by sound (John Seaton / John Stone); birth 1616 and 1618 agree within 2; alive in 1635, when the Globe arrived"
probable,Phillip,1635,John Shawe,1605,,John Shaw,I142753259193,1606,1694,"name matches by sound (John Shawe / John Shaw); birth 1605 and 1606 agree within 1; alive in 1635, when the Phillip arrived"
probable,Elizabeth,1635,John Stone,,,John Stone,I142235430624,1618,1683,"name matches exactly (John Stone); alive in 1635, when the Elizabeth arrived"
probable,Increase,1635,John Stone,,,John Stone,I142235430624,1618,1683,"name matches exactly (John Stone); alive in 1635, when the Increase arrived"
probable,Elizabeth and Anne,1635,John Washburn,,,John Washburn,I142105437619,1621,1686,"name matches exactly (John Washburn); alive in 1635, when the Elizabeth and Anne arrived"
probable,Paul,1635,John Watt'S,1614,,John Woods,I142408284110,1610,1678,"name matches by sound (John Watt'S / John Woods); birth 1614 and 1610 agree within 4; alive in 1635, when the Paul arrived"
probable,Alexander,1635,John Watts,1610,,John Woods,I142408284110,1610,1678,"name matches by sound (John Watts / John Woods); birth 1610 and 1610 agree within 0; alive in 1635, when the Alexander arrived"
probable,Alexander,1635,John Weston,1594,,John (Johannus) Whitman (Wightman),I142372911766,1598,1692,"name matches by sound (John Weston / John (Johannus) Whitman (Wightman)); birth 1594 and 1598 agree within 4; alive in 1635, when the Alexander arrived"
probable,Alexander,1635,John Weston,1594,,John Wightman,I142426611980,1598,1663,"name matches by sound (John Weston / John Wightman); birth 1594 and 1598 agree within 4; alive in 1635, when the Alexander arrived"
probable,Rebecca,1635,John Wild,1618,,John Weld,I142190366705,1623,1691,"name matches by sound (John Wild / John Weld); birth 1618 and 1623 agree within 5; alive in 1635, when the Rebecca arrived"
probable,Alice,1635,John Wright,1614,,John Wright,I142684499578,1601,1688,"name matches exactly (John Wright); alive in 1635, when the Alice arrived"
probable,Blessing,1635,Judith Vassall,,,Judith Vassall,I142436077938,1619,1670,"name matches exactly (Judith Vassall); alive in 1635, when the Blessing arrived"
probable,James,1635,Mary Farman,1628,,Mary Farnum,I142615408048,1628,1714,"name matches by sound (Mary Farman / Mary Farnum); birth 1628 and 1628 agree within 0; alive in 1635, when the James arrived"
probable,Blessing,1635,Mary Robinson,,,Mary Robinson,I142261753648,1609,1690,"name matches exactly (Mary Robinson); alive in 1635, when the Blessing arrived"
probable,George,1635,Mary Robinson,1617,,Mary Robinson,I142261753648,1609,1690,"name matches exactly (Mary Robinson); alive in 1635, when the George arrived"
probable,Elizabeth,1635,Mary Smith,,,Mary Smith,I142371300461,1617,1679,"name matches exactly (Mary Smith); alive in 1635, when the Elizabeth arrived"
probable,James,1635,Mary Smith,,,Mary Smith,I142371300461,1617,1679,"name matches exactly (Mary Smith); alive in 1635, when the James arrived"
probable,James,1635,Mary Smith,,,Mary Smith,I142371300461,1617,1679,"name matches exactly (Mary Smith); alive in 1635, when the James arrived"
probable,Planter,1635,Mary Smith,,,Mary Smith,I142371300461,1617,1679,"name matches exactly (Mary Smith); alive in 1635, when the Planter arrived"
probable,Susan and Ellen,1635,Mary Smith,,,Mary Smith,I142371300461,1617,1679,"name matches exactly (Mary Smith); alive in 1635, when the Susan and Ellen arrived"
probable,James,1635,Nicholas Holt,,,Nicholas Holt,I142409182933,1602,1685,"name matches exactly (Nicholas Holt); alive in 1635, when the James arrived"
probable,Elizabeth and Anne,1635,Richard Martin,,,Richard Martin,I142387939653,1589,,"name matches exactly (Richard Martin); alive in 1635, when the Elizabeth and Anne arrived"
probable,James,1635,Robert Field,,,Robert ............... Field,I28054970045,1605,1672,"name matches exactly (Robert Field); alive in 1635, when the James arrived"
probable,Elizabeth,1635,Sarah Walker,,,Sarah Walker,I142197184258,1618,1672,"name matches exactly (Sarah Walker); alive in 1635, when the Elizabeth arrived"
probable,Elizabeth,1635,Sarah Walker,,,Sarah Ann Walker,I142200655895,1618,1676,"name matches exactly (Sarah Walker); alive in 1635, when the Elizabeth arrived"
probable,Elizabeth,1635,Sarah Walker,,,Sarah Walker,I142217466308,1618,1672,"name matches exactly (Sarah Walker); alive in 1635, when the Elizabeth arrived"
probable,James,1635,William Ballard,,,William Ballard,I142200662675,1603,1689,"name matches exactly (William Ballard); alive in 1635, when the James arrived"
probable,Love,1635,William Browne,,,William Browne,I142261753815,1602,1662,"name matches exactly (William Browne); alive in 1635, when the Love arrived"
probable,Primrose,1635,William Browne,1616,,William Browne,I142261753815,1602,1662,"name matches exactly (William Browne); alive in 1635, when the Primrose arrived"
probable,Truelove,1635,William Howe,,,William Howe,I1667686146,1630,,"name matches exactly (William Howe); alive in 1635, when the Truelove arrived"
probable,Alexander,1635,William Huckle,1615,,William Haskell,I1264430977,1618,1693,"name matches by sound (William Huckle / William Haskell); birth 1615 and 1618 agree within 3; alive in 1635, when the Alexander arrived"
probable,Susan and Ellen,1635,William Lambert,,,William Lambert,I142620435856,1598,1671,"name matches exactly (William Lambert); alive in 1635, when the Susan and Ellen arrived"
probable,Susan and Ellen,1635,William Snow,,,William Snow,I142358809901,1617,1708,"name matches exactly (William Snow); alive in 1635, when the Susan and Ellen arrived"
probable,Hercules,1637,Martha Eaton,,,Martha Eaton,I142154868394,1636,1658,"name matches exactly (Martha Eaton); alive in 1637, when the Hercules arrived"
probable,Confidence,1638,Agnes Bent,,,Agnes Bent,I142274112605,1631,1713,"name matches exactly (Agnes Bent); alive in 1638, when the Confidence arrived"
probable,Bevis,1638,Daniel Poor,,,Daniel Poor,I142615408051,1623,1689,"name matches exactly (Daniel Poor); alive in 1638, when the Bevis arrived"
probable,Diligent,1638,Elizabeth Gates,,,Elizabeth Gates,I1842020950,1629,1704,"name matches exactly (Elizabeth Gates); alive in 1638, when the Diligent arrived"
probable,Diligent,1638,Elizabeth Gates,,,Elizabeth Gates,I1842021009,1630,1707,"name matches exactly (Elizabeth Gates); alive in 1638, when the Diligent arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142274112598,1596,1672,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142274112606,1636,1717,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142605540040,1636,1717,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142605540091,1595,1672,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142274112598,1596,1672,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142274112606,1636,1717,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142605540040,1636,1717,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Confidence,1638,John Bent,,,John Bent,I142605540091,1595,1672,"name matches exactly (John Bent); alive in 1638, when the Confidence arrived"
probable,Bevis,1638,John Hutchinson,,,John Hutchinson,I142197184850,1598,1676,"name matches exactly (John Hutchinson); alive in 1638, when the Bevis arrived"
probable,Bevis,1638,John Hutchinson,,,John HUTCHINSON,I142200657921,1598,1676,"name matches exactly (John Hutchinson); alive in 1638, when the Bevis arrived"
probable,Diligent,1638,Mary Gates,,,Mary Gates,I1842020795,1621,1663,"name matches exactly (Mary Gates); alive in 1638, when the Diligent arrived"
probable,Confidence,1638,Peter Bent,,,Peter Bent,I142274112603,1629,,"name matches exactly (Peter Bent); alive in 1638, when the Confidence arrived"
probable,Diligent,1638,Stephen Gates,,,Stephen Gates,I1841958153,1600,1662,"name matches exactly (Stephen Gates); alive in 1638, when the Diligent arrived"
probable,Diligent,1638,Thomas Lincoln,,,Thomas Lincoln,I142611828131,1637,1708,"name matches exactly (Thomas Lincoln); alive in 1638, when the Diligent arrived"
probable,Confidence,1638,William Jones,,,William Jones,I142381713323,1632,1707,"name matches exactly (William Jones); alive in 1638, when the Confidence arrived"
probable,Jonathan,1639,Agnes Bent,,,Agnes Bent,I142274112605,1631,1713,"name matches exactly (Agnes Bent); alive in 1639, when the Jonathan arrived"
